Province_State,2020 Cases,2021 Cases,2022 Cases
California,2434971.0,3084718.0,6315761.0
Texas,1822635.0,2856413.0,3532426.0
Florida,1323315.0,2886612.0,3128576.0
New York,995816.0,2521880.0,3058571.0
Illinois,963389.0,1186185.0,1820258.0
Ohio,700380.0,1315715.0,1291473.0
Georgia,677589.0,1162290.0,1145314.0
Pennsylvania,657071.0,1402542.0,1356529.0
Tennessee,592168.0,1443795.0,997045.0
North Carolina,539545.0,1147122.0,1630147.0
Michigan,528621.0,1181704.0,1278329.0
